id,systems,source,name_en,name_uk,text_en,text_uk,effects,size,creature_type,alignment,ac,hp,hp_formula,speed,str,dex,con,int,wis,cha,cr,senses,languages,skills
blue-dragon-ancient-blue-dragon,5e,SRD 5.1,Blue Dragon Ancient Blue Dragon,,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Actions.
Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack:+16 to hit, reach 15 ft., one target. Hit:20 (2d10 + 9) piercing damage plus 11 (2d10) lightning damage.
Claw. Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit:16 (2d6 + 9) slashing damage.
Tail. Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit:18 (2d8 + 9) bludgeoning damage.
Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 20 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Lightning Breath (Recharge 5-6). The dragon exhales lightning in a 120--foot line that is 10 feet wide. Each creature in that line must make a DC 23 Dexterity saving throw, taking 88 (16d10) lightning damage on a failed save, or half as much damage on a successful one. The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.
Detect. The dragon makes a Wisdom (Perception) check.
Tail Attack. The dragon makes a tail attack.
Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 24 Dexterity saving throw or take 16 (2d6 + 9) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",,,gargantuan,dragon,lawful evil,22,481,26d20 + 208,"40 ft., burrow 40 ft., fly 80 ft.",29,10,27,18,17,21,23,"blindsight 60 ft., darkvision 120 ft., passive Perception 27",,"Perception +17, Stealth +7"
adult-blue-dragon,5e,SRD 5.1,Adult Blue Dragon,,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Actions.
Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.
Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.
Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit:16 (2d8 + 7) bludgeoning damage.
Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Lightning Breath (Recharge 5-6). The dragon exhales lightning in a 90--foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one. The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.
Detect. The dragon makes a Wisdom (Perception) check.
Tail Attack. The dragon makes a tail attack.
Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",,,huge,dragon,lawful evil,19,225,18d12 + 108,"40 ft., burrow 30 ft., fly 80 ft.",25,10,23,16,15,19,16,"blindsight 60 ft., darkvision 120 ft., passive Perception 22",,"Perception +12, Stealth +5"
young-blue-dragon,5e,SRD 5.1,Young Blue Dragon,,"Actions.
Multiattack. The dragon makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 16 (2d10 + 5) piercing damage plus 5 (1d10) lightning damage.
Claw. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.
Lightning Breath (Recharge 5-6). The dragon exhales lightning in an 60--foot line that is 5 feet wide. Each creature in that line must make a DC 16 Dexterity saving throw, taking 55 (10d10) lightning damage on a failed save, or half as much damage on a successful one.",,,large,dragon,lawful evil,18,152,16d10 + 64,"40 ft., burrow 20 ft., fly 80 ft.",21,10,19,14,13,17,9,"blindsight 30 ft., darkvision 120 ft., passive Perception 19",,"Perception +9, Stealth +4"
blue-dragon-wyrmling,5e,SRD 5.1,Blue Dragon Wyrmling,,"Actions.
Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage plus 3 (1d6) lightning damage.
Lightning Breath (Recharge 5-6). The dragon exhales lightning in a 30--foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.",,,medium,dragon,lawful evil,17,52,8d8 + 16,"30 ft., burrow 15 ft., fly 60 ft.",17,10,15,12,11,15,3,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",,"Perception +4, Stealth +2"
ancient-green-dragon,5e,SRD 5.1,Ancient Green Dragon,,"Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Actions.
Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack:+15 to hit, reach 15 ft., one target. Hit:19 (2d10 + 8) piercing damage plus 10 (3d6) poison damage.
Claw. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit:22 (4d6 + 8) slashing damage.
Tail. Melee Weapon Attack: +15 to hit, reach 20 ft., one target. Hit:17 (2d8 + 8) bludgeoning damage.
Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Poison Breath (Recharge 5-6). The dragon exhales poisonous gas in a 90--foot cone. Each creature in that area must make a DC 22 Constitution saving throw, taking 77 (22d6) poison damage on a failed save, or half as much damage on a successful one. The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.
Detect. The dragon makes a Wisdom (Perception) check.
Tail Attack. The dragon makes a tail attack.
Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",,,gargantuan,dragon,lawful evil,21,385,22d20 + 154,"40 ft., fly 80 ft., swim 40 ft.",27,12,25,20,17,19,22,"blindsight 60 ft., darkvision 120 ft., passive Perception 27",,"Deception +11, Insight +10, Perception +17, Persuasion +11, Stealth +8"
adult-green-dragon,5e,SRD 5.1,Adult Green Dragon,,"Amphibious. The dragon can breathe air and water.
Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Actions.
Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack:+11 to hit, reach 10 ft., one target. Hit:17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage.
Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit:13 (2d6 + 6) slashing damage.
Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit:15 (2d8 + 6) bludgeoning damage.
Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Poison Breath (Recharge 5-6). The dragon exhales poisonous gas in a 60--foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 56 (16d6) poison damage on a failed save, or half as much damage on a successful one. The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.
Detect. The dragon makes a Wisdom (Perception) check.
Tail Attack. The dragon makes a tail attack.
Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",,,huge,dragon,lawful evil,19,207,18d12 + 90,"40 ft., fly 80 ft., swim 40 ft.",23,12,21,18,15,17,15,"blindsight 60 ft., darkvision 120 ft., passive Perception 22",,"Deception +8, Insight +7, Perception +12, Persuasion +8, Stealth +6"
young-green-dragon,5e,SRD 5.1,Young Green Dragon,,"Amphibious. The dragon can breathe air and water.
Actions.
Multiattack. The dragon makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 15 (2d10 + 4) piercing damage plus 7 (2d6) poison damage.
Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.
Poison Breath (Recharge 5-6). The dragon exhales poisonous gas in a 30--foot cone. Each creature in that area must make a DC 14 Constitution saving throw, taking 42 (12d6) poison damage on a failed save, or half as much damage on a successful one.",,,large,dragon,lawful evil,18,136,16d10 + 48,"40 ft., fly 80 ft., swim 40 ft.",19,12,17,16,13,15,8,"blindsight 30 ft., darkvision 120 ft., passive Perception 17",,"Deception +5, Perception +7, Stealth +4"
green-dragon-wyrmling,5e,SRD 5.1,Green Dragon Wyrmling,,"Amphibious. The dragon can breathe air and water.
Actions.
Bite. Melee Weapon Attack:+4 to hit, reach 5 ft., one target. Hit:7 (1d10 + 2) piercing damage plus 3 (1d6) poison damage.
Poison Breath (Recharge 5-6). The dragon exhales poisonous gas in a 15--foot cone. Each creature in that area must make a DC 11 Constitution saving throw, taking 21 (6d6) poison damage on a failed save, or half as much damage on a successful one.",,,medium,dragon,lawful evil,17,38,7d8 + 7,"30 ft., fly 60 ft., swim 30 ft.",15,12,13,14,11,13,2,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",,"Perception +4, Stealth +3"
ancient-red-dragon,5e,SRD 5.1,Ancient Red Dragon,,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Actions.
Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack:+17 to hit, reach 15 ft., one target. Hit:21 (2d10 + 10) piercing damage plus 14 (4d6) fire damage.
Claw. Melee Weapon Attack: +17 to hit, reach 10 ft., one target. Hit: 17 (2d6 + 10) slashing damage.
Tail. Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 19 (2d8 + 10) bludgeoning damage.
Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Fire Breath (Recharge 5-6). The dragon exhales fire in a 90--foot cone. Each creature in that area must make a DC 24 Dexterity saving throw, taking 91 (26d6) fire damage on a failed save, or half as much damage on a successful one. The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.
Detect. The dragon makes a Wisdom (Perception) check.
Tail Attack. The dragon makes a tail attack.
Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",,,gargantuan,dragon,chaotic evil,22,546,28d20 + 252,"40 ft., climb 40 ft., fly 80 ft.",30,10,29,18,15,23,24,"blindsight 60 ft., darkvision 120 ft., passive Perception 26",,"Perception +16, Stealth +7"
adult-red-dragon,5e,SRD 5.1,Adult Red Dragon,,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Actions.
Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack:+14 to hit, reach 10 ft., one target. Hit:19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage.
Claw. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit:15 (2d6 + 8) slashing damage.
Tail. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit:17 (2d8 + 8) bludgeoning damage.
Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Fire Breath (Recharge 5-6). The dragon exhales fire in a 60--foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 63 (18d6) fire damage on a failed save, or half as much damage on a successful one. The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.
Detect. The dragon makes a Wisdom (Perception) check.
Tail Attack. The dragon makes a tail attack.
Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",,,huge,dragon,chaotic evil,19,256,19d12 + 133,"40 ft., climb 40 ft., fly 80 ft.",27,10,25,16,13,21,17,"blindsight 60 ft., darkvision 120 ft., passive Perception 23",,"Perception +13, Stealth +6"
young-red-dragon,5e,SRD 5.1,Young Red Dragon,,"Actions.
Multiattack. The dragon makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 3 (1d6) fire damage.
Claw. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.
Fire Breath (Recharge 5-6). The dragon exhales fire in a 30--foot cone. Each creature in that area must make a DC 17 Dexterity saving throw, taking 56 (16d6) fire damage on a failed save, or half as much damage on a successful one.",,,large,dragon,chaotic evil,18,178,17d10 + 85,"40 ft., climb 40 ft., fly 80 ft.",23,10,21,14,11,19,10,"blindsight 30 ft., darkvision 120 ft., passive Perception 18",,"Perception +8, Stealth +4"
red-dragon-wyrmling,5e,SRD 5.1,Red Dragon Wyrmling,,"Actions.
Bite. Melee Weapon Attack:+6 to hit, reach 5 ft., one target. Hit:9 (1d10 + 4) piercing damage plus 3 (1d6) fire damage.
Fire Breath (Recharge 5-6). The dragon exhales fire in a 15--foot cone. Each creature in that area must make a DC 13 Dexterity saving throw, taking 24 (7d6) fire damage on a failed save, or half as much damage on a successful one.",,,medium,dragon,chaotic evil,17,75,10d8 + 30,"30 ft., climb 30 ft., fly 60 ft.",19,10,17,12,11,15,4,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",,"Perception +4, Stealth +2"
ancient-white-dragon,5e,SRD 5.1,Ancient White Dragon,,"Ice Walk. The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn’t cost it extra moment.
Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Actions.
Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack:+14 to hit, reach 15 ft., one target. Hit:19 (2d10 + 8) piercing damage plus 9 (2d8) cold damage.
Claw. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.
Tail. Melee Weapon Attack: +14 to hit, reach 20 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.
Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Cold Breath (Recharge 5-6). The dragon exhales an icy blast in a 90--foot cone. Each creature in that area must make a DC 22 Constitution saving throw, taking 72 (16d8) cold damage on a failed save, or half as much damage on a successful one. The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.
Detect. The dragon makes a Wisdom (Perception) check.
Tail Attack. The dragon makes a tail attack.
Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",,,gargantuan,dragon,chaotic evil,20,333,18d20 + 144,"40 ft., burrow 40 ft., fly 80 ft., swim 40 ft.",26,10,26,10,13,14,20,"blindsight 60 ft., darkvision 120 ft., passive Perception 23",,"Perception +13, Stealth +6"
adult-white-dragon,5e,SRD 5.1,Adult White Dragon,,"Ice Walk. The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn’t cost it extra moment.
Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Actions.
Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack:+11 to hit, reach 10 ft., one target. Hit:17 (2d10 + 6) piercing damage plus 4 (1d8) cold damage.
Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit:13 (2d6 + 6) slashing damage.
Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit:15 (2d8 + 6) bludgeoning damage.
Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 14 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Cold Breath (Recharge 5-6). The dragon exhales an icy blast in a 60--foot cone. Each creature in that area must make a DC 19 Constitution saving throw, taking 54 (12d8) cold damage on a failed save, or half as much damage on a successful one. The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.
Detect. The dragon makes a Wisdom(Perception) check.
Tail Attack. The dragon makes a tail attack.
Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",,,huge,dragon,chaotic evil,18,200,16d12 + 96,"40 ft., burrow 30 ft., fly 80 ft., swim 40 ft.",22,10,22,8,12,12,13,"blindsight 60 ft., darkvision 120 ft., passive Perception 21",,"Perception +11, Stealth +5"
young-white-dragon,5e,SRD 5.1,Young White Dragon,,"Ice Walk. The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn’t cost it extra moment.
Actions.
Multiattack. The dragon makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 15 (2d10 + 4) piercing damage plus 4 (1d8) cold damage.
Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.
Cold Breath (Recharge 5-6). The dragon exhales an icy blast in a 30--foot cone. Each creature in that area must make a DC 15 Constitution saving throw, taking 45 (10d8) cold damage on a failed save, or half as much damage on a successful one.",,,large,dragon,chaotic evil,17,133,14d10 + 56,"40 ft., burrow 20 ft., fly 80 ft., swim 40 ft.",18,10,18,6,11,12,6,"blindsight 30 ft., darkvision 120 ft., passive Perception 16",,"Perception +6, Stealth +3"
white-dragon-wyrmling,5e,SRD 5.1,White Dragon Wyrmling,,"Actions.
Bite. Melee Weapon Attack:+4 to hit, reach 5 ft., one target. Hit:7 (1d10 + 2) piercing damage plus 2 (1d4) cold damage.
Cold Breath (Recharge 5-6). The dragon exhales an icy blast of hail in a 15--foot cone. Each creature in that area must make a DC 12 Constitution saving throw, taking 22 (5d8) cold damage on a failed save, or half as much damage on a successful one.",,,medium,dragon,chaotic evil,16,32,5d8 + 10,"30 ft., burrow 15 ft., fly 60 ft., swim 30 ft.",14,10,14,5,10,11,2,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",,"Perception +4, Stealth +2"
ancient-brass-dragon,5e,SRD 5.1,Ancient Brass Dragon,,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Actions.
Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage.
Claw. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.
Tail. Melee Weapon Attack: +14 to hit, reach 20 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.
Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons:
Fire Breath. The dragon exhales fire in an 90--foot line that is 10 feet wide. Each creature in that line must make a DC 21 Dexterity saving throw, taking 56 (16d6) fire damage on a failed save, or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 90--foot cone. Each creature in that area must succeed on a DC 21 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.
Change Shape. The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon’s choice).  In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form. The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.
Detect. The dragon makes a Wisdom (Perception) check.
Tail Attack. The dragon makes a tail attack.
Wing Attack 
(Costs 2 Actions). The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",,,gargantuan,dragon,chaotic good,20,297,17d20 + 119,"40 ft., burrow40 ft., fly 80 ft.",27,10,25,16,15,19,20,"blindsight 60 ft., darkvision 120 ft., passive Perception 24",,"History +9, Perception +14, Persuasion +10, Stealth +6"
adult-brass-dragon,5e,SRD 5.1,Adult Brass Dragon,,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.
Actions.
Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack:+11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.
Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit:13 (2d6 + 6) slashing damage.
Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.
Frightful Presence. Each creature of the dragon’s choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the dragon’s Frightful Presence for the next 24 hours.
Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in an 60--foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 45 (13d6) fire damage on a failed save, or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 60--foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it. The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The dragon regains spent legendary actions at the start of its turn.
Detect. The dragon makes a Wisdom (Perception) check.
Tail Attack. The dragon makes a tail attack.
Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",,,huge,dragon,chaotic good,18,172,15d12 + 75,"40 ft., burrow 30 ft., fly 80 ft.",23,10,21,14,13,17,13,"blindsight 60 ft., darkvision 120 ft., passive Perception 21",,"History +7, Perception +11, Persuasion +8, Stealth +5"
young-brass-dragon,5e,SRD 5.1,Young Brass Dragon,,"Actions.
Multiattack. The dragon makes three attacks: one with its bite and two with its claws.
Bite. Melee Weapon Attack:+7 to hit, reach 10 ft., one target. Hit:15 (2d10 + 4) piercing damage.
Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit:11 (2d6 + 4) slashing damage.
Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in a 40--foot line that is 5 feet wide. Each creature in that line must make a DC 14 Dexterity saving throw, taking 42 (12d6) fire damage on a failed save, or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 30--foot cone. Each creature in that area must succeed on a DC 14 Constitution saving throw or fall unconscious for 5 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.",,,large,dragon,chaotic good,17,110,13d10 + 39,"40 ft., burrow 20 ft., fly 80 ft.",19,10,17,12,11,15,6,"blindsight 30 ft., darkvision 120 ft., passive Perception 16",,"Perception +6, Persuasion +5, Stealth +3"
brass-dragon-wyrmling,5e,SRD 5.1,Brass Dragon Wyrmling,,"Actions.
Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage.
Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in an 20--foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 14 (4d6) fire damage on a failed save, or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 15--foot cone. Each creature in that area must succeed on a DC 11 Constitution saving throw or fall unconscious for 1 minute. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.",,,medium,dragon,chaotic good,16,16,3d8 + 3,"30 ft., burrow 15 ft., fly 60 ft.",15,10,13,10,11,13,1,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",,"Perception +4, Stealth +2"
